TIRF Data File: Project 2356; Run 050; Date 01-20-2022; Time 17:54; Tire_Name=Hoosier 20.5X7.0-13, R20; Rim_Width=7.0; ISO False; ID X15rj4z
ET	V	N	SA	IA	RL	RE	P	FX	FY	FZ	MX	MZ	NFX	NFY	RST	TSTI	TSTC	TSTO	AmbTmp	SR
s	kph	rpm	deg	deg	cm	cm	kPa	N	N	N	Nm	Nm	none	none	deg c	deg c	deg c	deg c	deg c	SAE
0.000	40.16	407.37	0.003	0.001	25.68	26.15	84.43	-395.12	47.43	-1029.64	31.85	6.39	0.3837	-0.0461	30.15	27.62	29.52	29.10	26.72	-0.0180
0.010	40.16	407.44	0.003	-0.003	25.68	26.15	84.43	-379.82	41.84	-1039.77	26.93	-8.42	0.3653	-0.0402	30.13	27.62	29.53	29.07	26.73	-0.0179
0.020	40.14	407.03	-0.003	0.009	25.67	26.16	84.38	-390.61	39.01	-1060.65	30.37	-24.08	0.3683	-0.0368	30.15	27.63	29.56	29.07	26.71	-0.0187
0.030	40.14	407.03	0.006	0.006	25.68	26.16	84.08	-420.52	35.07	-1087.49	40.25	-37.61	0.3867	-0.0322	30.15	27.61	29.59	29.06	26.71	-0.0185
0.040	40.14	407.10	0.004	0.010	25.67	26.16	83.98	-462.94	35.33	-1113.63	54.84	-49.05	0.4157	-0.0317	30.15	27.62	29.62	29.05	26.73	-0.0187
0.050	40.19	407.03	-0.004	-0.000	25.68	26.19	83.83	-487.87	37.19	-1139.47	73.36	-52.08	0.4282	-0.0326	30.13	27.62	29.64	29.03	26.72	-0.0197
0.060	40.23	407.24	0.006	-0.002	25.68	26.20	83.88	-498.06	42.42	-1155.32	90.88	-49.21	0.4311	-0.0367	30.10	27.61	29.59	29.05	26.71	-0.0201
0.070	40.25	407.37	0.007	0.004	25.68	26.21	84.03	-492.80	48.93	-1158.66	104.96	-39.60	0.4253	-0.0422	30.06	27.59	29.55	29.06	26.72	-0.0203
0.080	40.27	407.44	0.013	0.004	25.67	26.22	84.13	-481.11	54.64	-1148.12	111.57	-24.94	0.4190	-0.0476	30.03	27.61	29.53	29.03	26.73	-0.0211
0.090	40.26	407.58	0.000	0.007	25.67	26.20	84.18	-473.28	60.85	-1127.28	110.72	-9.26	0.4198	-0.0540	29.98	27.56	29.53	28.99	26.71	-0.0202
0.100	40.22	407.51	-0.003	0.012	25.67	26.18	84.08	-464.22	64.80	-1103.61	103.28	5.99	0.4206	-0.0587	29.94	27.51	29.56	28.99	26.71	-0.0194
0.110	40.20	407.72	-0.001	0.010	25.67	26.15	83.93	-452.78	65.21	-1077.64	89.58	17.38	0.4202	-0.0605	29.94	27.53	29.58	28.99	26.72	-0.0185
0.120	40.17	407.85	0.012	0.010	25.67	26.13	83.93	-435.29	65.55	-1057.50	73.93	23.19	0.4116	-0.0620	29.96	27.52	29.59	28.99	26.72	-0.0174
0.130	40.17	407.99	-0.004	-0.003	25.68	26.12	83.93	-413.01	63.96	-1037.65	56.76	22.20	0.3980	-0.0616	29.95	27.52	29.61	28.99	26.70	-0.0169
0.140	40.16	407.85	0.017	0.012	25.67	26.12	84.03	-392.98	56.53	-1029.49	40.94	15.20	0.3817	-0.0549	29.94	27.55	29.62	28.99	26.72	-0.0172
0.150	40.15	407.85	0.007	0.004	25.67	26.11	84.18	-381.76	49.46	-1030.95	30.56	2.82	0.3703	-0.0480	29.92	27.56	29.61	29.03	26.73	-0.0169
0.160	40.14	407.85	0.003	-0.010	25.68	26.11	84.13	-380.38	43.32	-1044.67	27.56	-12.32	0.3641	-0.0415	29.92	27.58	29.61	29.01	26.72	-0.0165
